Name	Length
2L52.1a	1357
2L52.1b	789
2RSSE.1a	1301
2RSSE.1b	1706
3R5.1a	810
3R5.1b	806
4R79.1a	1428
4R79.1b	570
4R79.2a	1190
4R79.2b	936
6R55.2	296
AC3.1	1068
AC3.10	1224
AC3.12	285
AC3.2	1631
AC3.3	1405
AC3.4	1401
AC3.5a.1	3546
AC3.5a.2	3433
AC3.5b	3361
AC3.6	987
AC3.7	1725
AC3.8	1774
AC7.1a	1286
AC7.1b	1259
AC7.2a.1	2366
AC7.2a.2	2163
AC7.2b	2268
AC7.2c	2310
AC7.2d	2046
AC7.3	753
AC8.10	1320
AC8.11	654
AC8.12	690
AC8.3	1320
AC8.4	654
AC8.7	690
AH10.1	1770
AH10.2	738
AH10.3	563
AH10.4	219
AH6.1	3414
AH6.10	1194
AH6.11	990
AH6.12	1053
AH6.14	1193
AH6.17	297
AH6.2	1045
AH6.3	827
AH6.4	1091
AH6.5	1926
AH6.6	990
AH6.7	1037
AH6.8	1049
AH9.1	1236
AH9.2	1162
AH9.3	961
AH9.4	1364
AH9.6	999
B0001.1a	996
B0001.1b	702
B0001.1c	697
B0001.2	2916
B0001.3a	1969
B0001.3b	1919
B0001.3c	1887
B0001.4a	1137
B0001.5	1859
B0001.6.1	2337
B0001.6.2	2194
B0001.7a	2403
B0001.7b	2393
B0001.7c	554
B0001.8a	1658
B0001.8b	1651
B0001.8c.1	831
B0001.8c.2	708
B0019.1	2369
B0019.2	2370
B0024.1	1048
B0024.10	1840
B0024.11	1818
B0024.12	624
B0024.13	1022
B0024.14a	2984
B0024.14b	3247
B0024.14d	2996
B0024.14f	2907
B0024.15.1	1388
B0024.15.2	1066
B0024.2	982
B0024.3	875
B0024.4	1233
B0024.6a	3249
B0024.6b	3261
B0024.8a	3939
B0024.8b	2283
B0024.8c	1896
B0024.8d	1890
B0024.9a.1	562
B0024.9a.2	524
B0024.9b.1	562
B0024.9b.2	524
B0025.1a	2799
B0025.1b	2223
B0025.1c.1	2799
B0025.1c.2	2789
B0025.2.1	1629
B0025.2.2	1620
B0025.4	585
B0025.5	383
B0034.1	966
B0034.2	120
B0034.3a	3431
B0034.3b	1024
B0034.3c	920
B0034.4	748
B0034.5	1095
B0034.7	301
B0035.10	534
B0035.11	1483
B0035.12.1	2891
B0035.12.2	2777
B0035.12.3	2814
B0035.12.4	2830
B0035.13.1	991
B0035.13.2	1021
B0035.14a.1	1695
B0035.14a.2	1669
B0035.14b	723
B0035.15	1129
B0035.16	1209
