	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1
OG0003198	AFZ52167		
OG0003199	AFZ52169		
OG0003200	AFZ52171		
OG0003201	AFZ52177		
OG0003202	AFZ52212		
OG0003203	AFZ52213		
OG0003204	AFZ52217		
OG0003205	AFZ52219		
OG0003206	AFZ52221		
OG0003207	AFZ52236		
OG0003208	AFZ52237		
OG0003209	AFZ52240		
OG0003210	AFZ52241		
OG0003211	AFZ52242		
OG0003212	AFZ52244		
OG0003213	AFZ52268		
OG0003214	AFZ52273		
OG0003215	AFZ52275		
OG0003216	AFZ52277		
OG0003217	AFZ52280		
OG0003218	AFZ52301		
OG0003219	AFZ52303		
OG0003220	AFZ52322		
OG0003221	AFZ52336		
OG0003222	AFZ52344		
OG0003223	AFZ52345		
OG0003224	AFZ52355		
OG0003225	AFZ52358		
OG0003226	AFZ52364		
OG0003227	AFZ52366		
OG0003228	AFZ52375		
OG0003229	AFZ52384		
OG0003230	AFZ52390		
OG0003231	AFZ52396		
OG0003232	AFZ52398		
OG0003233	AFZ52399		
OG0003234	AFZ52400		
OG0003235	AFZ52430		
OG0003236	AFZ52431		
OG0003237	AFZ52433		
OG0003238	AFZ52434		
OG0003239	AFZ52435		
OG0003240	AFZ52441		
OG0003241	AFZ52445		
OG0003242	AFZ52448		
OG0003243	AFZ52450		
OG0003244	AFZ52452		
OG0003245	AFZ52453		
OG0003246	AFZ52465		
OG0003247	AFZ52468		
OG0003248	AFZ52471		
OG0003249	AFZ52472		
OG0003250	AFZ52475		
OG0003251	AFZ52476		
OG0003252	AFZ52482		
OG0003253	AFZ52483		
OG0003254	AFZ52484		
OG0003255	AFZ52487		
OG0003256	AFZ52492		
OG0003257	AFZ52500		
OG0003258	AFZ52503		
OG0003259	AFZ52506		
OG0003260	AFZ52510		
OG0003261	AFZ52511		
OG0003262	AFZ52517		
OG0003263	AFZ52519		
OG0003264	AFZ52527		
OG0003265	AFZ52541		
OG0003266	AFZ52545		
OG0003267	AFZ52546		
OG0003268	AFZ52551		
OG0003269	AFZ52557		
OG0003270	AFZ52560		
OG0003271	AFZ52561		
OG0003272	AFZ52566		
OG0003273	AFZ52567		
OG0003274	AFZ52571		
OG0003275	AFZ52572		
OG0003276	AFZ52578		
OG0003277	AFZ52587		
OG0003278	AFZ52593		
OG0003279	AFZ52594		
OG0003280	AFZ52614		
OG0003281	AFZ52630		
OG0003282	AFZ52632		
OG0003283	AFZ52633		
OG0003284	AFZ52634		
OG0003285	AFZ52668		
OG0003286	AFZ52669		
