Name	Length
B0213.1	1032
B0250.13	158
B0281.2	1167
B0302.3	840
B0302.6	1218
B0303.5	990
B0403.1	597
B0478.2	2508
B0513.10	1020
B0564.5	1020
C01B12.6	990
C02A12.7	276
C03A7.1	4332
C03E10.2	1032
C04F12.11	501
C04F12.2	624
C05C12.9	924
C05E4.8	678
C06A5.10	240
C06A5.4	663
C06A5.5	414
C06B8.5	945
C06E8.4	1662
C06G3.12	333
C06H5.10	246
C08F1.9	1662
C09G12.7	1596
C12D12.6	810
C13B9.1	432
C14A6.4	1020
C16C8.6	945
C17B7.13	1245
C17B7.7	2418
C17H11.3	1578
C24A1.4	519
C24A3.7	1347
C24G7.3	537
C27H2.1	732
C28F5.5	945
C29E6.6	1020
C29F5.6	1029
C30A5.9	201
C30G4.1	1020
C31A11.2	1020
C31A11.8	1032
C31C9.5	1626
C31E10.2	534
C33A12.5	1020
C34D4.5	1875
C36A4.7	1020
C36C5.13	912
C38D9.3	4491
C40A11.9	1575
C44B12.7	1170
C44E4.8	702
C46G7.3	2148
C48D1.6	1032
C49A1.8	1803
C49D10.1	2277
C50H2.9	444
C52D10.5	1011
C52E2.8	1950
C54H2.2	945
E03H4.1	1020
F07B7.6	6888
F07C7.1	5640
F08G12.6	1032
F09C3.6	2508
F11D11.2	981
F11D11.9	1068
F13E9.7	273
F14D2.9	1977
F15A2.7	309
F15D4.7	6807
F16D3.5	1020
F18C5.7	1032
F20B4.2	3108
F20B4.7	2676
F21D9.7	6512
F21E9.1	3513
F21E9.5	2595
F22B3.3	1803
F22B3.6	1662
F22G12.2	1209
F23A7.7	2898
F26H9.3	1011
F27B3.4	1020
F28C10.2	714
F30A10.7	2361
F30F8.4	1596
F31A9.6	1077
F35B3.2	1020
F35B3.6	1020
F35E8.3	1032
F38A1.2	990
F38E9.3	2901
F39E9.5	618
F40F12.2	1215
F41B5.6	1797
F43G9.7	2418
F44C4.6	999
F44E2.2a	6528
F44E2.2b	6561
F44E2.2c	1554
F44F4.8	1020
F45D11.6	1434
F47C8.1	1662
F47G9.5	1020
F48B9.7	645
F49C5.8	624
F49D11.5	960
F52C9.6	840
F52D2.3	894
F53C3.9	1458
F54D7.1	1878
F54D8.5	555
F54D8.9	348
F54H12.3	861
F55A4.6	1737
F56A4.8	1197
F56A6.3	990
F56C9.2	2319
F56D5.7	1020
F56F4.7	249
F57G4.2	1272
F57G4.3	915
F57G4.5	780
F57G4.6	768
F57G4.7	2648
F57G4.9	1155
F58A4.13	1215
F58E1.1	984
